game_no,attacking_team,defending_team,game_time,x_axis,y_axis,distance_to_goal,play_type,assist,outcome
1,Brisbane,Canberra,2.06,16.55,18.48,20.16,Open play,Throw-in,Saved
1,Canberra,Brisbane,4.14,18.76,44.9,23.96,Open play,Long pass,Missed
1,Brisbane,Canberra,7.54,9.3,27.4,9.66,Open play,Short pass,Goal
1,Brisbane,Canberra,10.24,13.83,28.86,13.88,Set play,Cross,Goal
1,Canberra,Brisbane,17.22,5.95,35.38,8.02,Set play,Cross,Saved
1,Canberra,Brisbane,22.58,32.95,35.38,33.39,Open play,Short pass,Saved
1,Brisbane,Canberra,37.07,25.85,15.99,29.4,Open play,Turnover,Missed
1,Canberra,Brisbane,38.33,9.84,36.21,11.64,Open play,Long pass,Goal
1,Canberra,Brisbane,50.06,12.36,19.66,16.11,Open play,Long pass,Saved
1,Brisbane,Canberra,51.31,16.9,19.93,19.67,Open play,Medium pass,Saved
1,Brisbane,Canberra,58.57,10.88,43.81,17.58,Open play,Medium through,Saved
1,Brisbane,Canberra,61.46,26.83,35.92,27.48,Open play,Turnover,Saved
1,Brisbane,Canberra,62.4,10.2,23.05,12.34,Open play,Medium through,Missed
1,Brisbane,Canberra,69.07,9.55,34.67,10.63,Corner,Corner,Blocked
1,Brisbane,Canberra,69.1,15.45,42.77,20.04,Open play,Short pass,Blocked
1,Brisbane,Canberra,70.22,26.8,36.96,27.69,Open play,Short pass,Saved
1,Brisbane,Canberra,72.23,19.99,41.52,23.07,Open play,Medium pass,Blocked
1,Brisbane,Canberra,76.2,18.58,17.23,22.55,Open play,Medium pass,Missed
1,Brisbane,Canberra,80.33,16.02,16.19,21.15,Open play,Medium pass,Missed
1,Brisbane,Canberra,83.53,16.6,44.43,22,Open play,Short pass,Missed
1,Brisbane,Canberra,85.05,17.2,15.99,22.18,Open play,Medium pass,Saved
1,Brisbane,Canberra,86.41,14.12,37.58,16.03,Open play,Medium through,Saved
1,Brisbane,Canberra,87.42,25.74,24.5,26.32,Open play,Medium pass,Missed
2,Canberra,Sydney,7.35,17.16,26.9,17.44,Open play,Turnover,Goal
2,Sydney,Canberra,10.31,16.98,10.69,25.71,Open play,Short pass,Missed
2,Sydney,Canberra,16.37,8.24,19.31,13.5,Corner,Header,Missed
2,Canberra,Sydney,38.23,17.12,19.27,20.2,Corner,Corner,Saved
